"outcome","predictor","x_value","yhat"
"drift","stress_binary","0.125",0.380919778766157
"drift","stress_binary","0.166666666666667",0.380919778766157
"drift","stress_binary","0.208333333333333",0.380919778766157
"drift","stress_binary","0.25",0.380919778766157
"drift","stress_binary","0.291666666666667",0.380919778766157
"drift","stress_binary","0.333333333333333",0.380919778766157
"drift","stress_binary","0.375",0.380919778766157
"drift","stress_binary","0.416666666666667",0.380919778766157
"drift","stress_binary","0.458333333333333",0.380919778766157
"drift","stress_binary","0.5",0.380919778766157
"drift","stress_binary","0.541666666666667",0.380479537412332
"drift","stress_binary","0.583333333333333",0.380479537412332
"drift","stress_binary","0.625",0.380479537412332
"drift","stress_binary","0.666666666666667",0.380479537412332
"drift","stress_binary","0.708333333333333",0.380479537412332
"drift","stress_binary","0.75",0.380479537412332
"drift","stress_binary","0.791666666666667",0.380479537412332
"drift","stress_binary","0.833333333333333",0.380479537412332
"drift","stress_binary","0.875",0.380479537412332
"drift","stress_binary","0.916666666666667",0.380479537412332
"drift","stress_binary","0.958333333333333",0.380479537412332
"drift","stress_binary","1",0.380479537412332
"alcbias","stress_binary","0",-0.809476981864175
"alcbias","stress_binary","0.0416666666666667",-0.809476981864175
"alcbias","stress_binary","0.0833333333333333",-0.809476981864175
"alcbias","stress_binary","0.125",-0.809476981864175
"alcbias","stress_binary","0.166666666666667",-0.809476981864175
"alcbias","stress_binary","0.208333333333333",-0.809476981864175
"alcbias","stress_binary","0.25",-0.809476981864175
"alcbias","stress_binary","0.291666666666667",-0.809476981864175
"alcbias","stress_binary","0.333333333333333",-0.809476981864175
"alcbias","stress_binary","0.375",-0.809476981864175
"alcbias","stress_binary","0.416666666666667",-0.809476981864175
"alcbias","stress_binary","0.458333333333333",-0.809476981864175
"alcbias","stress_binary","0.5",-0.809476981864175
"alcbias","stress_binary","0.541666666666667",-0.730206273887667
"alcbias","stress_binary","0.583333333333333",-0.730206273887667
"alcbias","stress_binary","0.625",-0.730206273887667
"alcbias","stress_binary","0.666666666666667",-0.730206273887667
"alcbias","stress_binary","0.708333333333333",-0.730206273887667
"alcbias","stress_binary","0.75",-0.730206273887667
"alcbias","stress_binary","0.791666666666667",-0.730206273887667
"alcbias","stress_binary","0.833333333333333",-0.730206273887667
"alcbias","stress_binary","0.875",-0.730206273887667
"alcbias","stress_binary","0.916666666666667",-0.730206273887667
"alcbias","stress_binary","0.958333333333333",-0.730206273887667
"alcbias","stress_binary","1",-0.730206273887667
"B","stress_binary","0",0.810146061002409
"B","stress_binary","0.0416666666666667",0.810146061002409
"B","stress_binary","0.0833333333333333",0.810146061002409
"B","stress_binary","0.125",0.810146061002409
"B","stress_binary","0.166666666666667",0.810146061002409
"B","stress_binary","0.208333333333333",0.810146061002409
"B","stress_binary","0.25",0.810146061002409
"B","stress_binary","0.291666666666667",0.810146061002409
"B","stress_binary","0.333333333333333",0.810146061002409
"B","stress_binary","0.375",0.810146061002409
"B","stress_binary","0.416666666666667",0.810146061002409
"B","stress_binary","0.458333333333333",0.810146061002409
"B","stress_binary","0.5",0.810146061002409
"B","stress_binary","0.541666666666667",0.821128233773238
"B","stress_binary","0.583333333333333",0.821128233773238
"B","stress_binary","0.625",0.821128233773238
"B","stress_binary","0.666666666666667",0.821128233773238
"B","stress_binary","0.708333333333333",0.821128233773238
"B","stress_binary","0.75",0.821128233773238
"B","stress_binary","0.791666666666667",0.821128233773238
"B","stress_binary","0.833333333333333",0.821128233773238
"B","stress_binary","0.875",0.821128233773238
"B","stress_binary","0.916666666666667",0.821128233773238
"B","stress_binary","0.958333333333333",0.821128233773238
"B","stress_binary","1",0.821128233773238
"choice_prop","stress_state","0",0.350344661450098
"choice_prop","stress_state","0.166666666666667",0.350344661450098
"choice_prop","stress_state","0.333333333333333",0.350344661450098
"choice_prop","stress_state","0.5",0.350344661450098
